nom,description,types,statut,numeroMarche,clientId,dateDebut,dateFin,montantHT,montantTTC,province,ville,responsableProjetId
CONSTRUCTION ROUTE D'ACCES AU CET DE NKOLTANG + AVENANT,"Projet portant sur la construction de la route d?accès au Centre d?Enseignement Technique (CET) de Nkoltang, incluant tous les travaux nécessaires pour établir cette voie d?accès.",VOIRIE,PLANIFIE,N°09/MTP/SG/2024,1,2024-10-25,2025-10-25,5456639781.00,6493401339.00,,,14
PROJET D'AMENAGEMENT DE VOIRIES DE DESSERTE CAMP DE GAULE/JARDIN BOTANIQUE,,VOIRIE,EN_ATTENTE,N°147/MTP/SG/2024,1,2025-02-25,2027-02-25,7000000000.00,8330000000.00,,,12
CONSTRUCTION D'UN PONT SUR LE CARREFOUR CAMP DE GAULLE A LIBREVILLE ,,PONT,PLANIFIE,N°148/MTP/SG/2024,1,2024-01-01,2026-01-01,14805768664.00,17618864710.00,,,11
TRAVAUX D'AMENAGEMENT ET DE REHABILITATION DE L'ENA,,BATIMENT,TERMINE,145/MTP/SG/2024,1,2024-05-01,2024-12-31,1601929755.00,1906296408.00,,,13
TRAVAUX DE REHABILITATION DE L'EPCA,,BATIMENT,TERMINE,N°150/MTP/SG/2024,1,2025-02-25,2025-10-25,600000000.00,714000000.00,,,13
TRAVAUX PRIORIAIRES DES VOIRIES DE LIBREVILLE,,VOIRIE,TERMINE,N°143/MTP/SG/2024,1,2024-01-01,2024-12-31,1817403915.00,2162710659.00,,,1
TRAVAUX D'AMANAGEMENT DES VOIRIES DE DESSERTE DU QUARTIER AKEMIDJONGONI,,VOIRIE,EN_COURS,N°144/MTP/SG/2024,1,2025-02-25,2025-10-25,2995552891.00,3564707940.00,,,9
AMENAGEMENT DE LA VOIE DE BEL AIR,,VOIRIE,SUSPENDU,91/MTPC/SG/2025,1,NULL,NULL,1536810579.00,1828804589.00,,,9
BERGE DE LA LOWE,,ROUTE,EN_ATTENTE,52/MTPC/SG/2025,1,2025-11-11,2027-02-11,14348354681.00,17074542070.00,,,10
DONGUILA-CONSTRUCTION D'UN CAPA,,AMENAGEMENT,RECEPTION_PROVISOIRE,01/MMPEB/SG/2025,1,NULL,NULL,819880934.00,975658311.00,,,13
EXTENTION VOIRIES AKEMIDJONGONI,,VOIRIE,EN_COURS,N°92/MTPC/SG/2025,1,2026-01-13,2026-05-13,494654476.00,588638826.00,,,9
MARCHER MUNICIPAL D'OWENDO,,OUVRAGE_ART,RECEPTION_DEFINITIVE,93/MTPC/SG/2025,1,NULL,NULL,6722688993.00,7999999902.00,,,13
NOUVELLES VOIES JB-CAMP DE GAULLE  + AMENAGEMENT  BORD DE MER ,,VOIRIE,TERMINE,N°53MTPC/SG/2025,1,2025-10-15,2026-10-15,12107327977.00,14407720293.00,,,12
PLANCHE D'ESSAI,,VOIRIE,EN_COURS,N°60/MTP/SG/2025,1,2025-01-01,2025-12-31,136847388.00,162848392.00,,,1
TRAVAUX DE REHABILITAION ET D'AMENAGEMENT DES VOIRIES  DE KANGO,,VOIRIE,EN_COURS,N°26/MTP/SG/2025,1,2025-10-07,2027-10-07,9098777126.00,10827544780.00,,,14
USTM-TRAVAUX DE REHABITATION /TRAVAUX SUPPLEMENTAIRES ,,BATIMENT,EN_ATTENTE,N°34/MTPC/SG/2025,1,NULL,NULL,1979462755.00,2355560678.00,,,9
COMILOG,,BATIMENT,TERMINE,,11,2025-01-01,2025-12-31,0.00,0.00,,,1
LALALA PLANIFICATION N° DEVIS GAO/PRZ/79/11/08/25,,VOIRIE,TERMINE,,2,2025-01-01,2025-12-31,306722800.00,365000132.00,,,1
TRESOR PUBLIC,,VOIRIE,TERMINE,,21,2025-01-01,2026-01-01,69184456.00,82329503.00,,,1
MAUREL & PROM,,AMENAGEMENT,EN_ATTENTE,,22,2025-01-01,2026-01-01,2516639844.00,2994801414.00,,,9
REHANILITATION EXTENSION INTERNAT DU LYCEE CHARLES,,"BATIMENT,REHABILITATION",EN_COURS,N°004/ED/MENFPFC/CTRI/2024,3,2025-10-01,2026-04-01,915426859.00,1089357962.00,,,9
"TRAVAUX DE REAMENAGEMENT DES VOIRIES DU CINQUIEME ARRONDISSEMENT, QUARTIER LALALA.",,VOIRIE,EN_COURS,N°95/MTPC/SG/2025,1,2025-10-01,2026-08-01,3064441838.00,3646685787.00,,,9
GABOIL EXTENTION DEPOT ETROLIER,,BATIMENT,TERMINE,,7,NULL,NULL,,,,,9
Aménagement du Bassin Versant de Gué-Gué Aval/Section Prix-Import Bas Gué-Gué-Pont Exutoire Gué-Gué,,VOIRIE,PLANIFIE,N°?/ MTPC/CAB-M/UCET/2025,1,2025-10-01,2027-10-01,16064386555.00,19116620000.00,,,12
Travaux d?aménagement du carrefour Charbonnages,,"VOIRIE,ROUTE",EN_COURS,N°?../MTPC/SG/202?,1,2025-10-01,2026-07-01,1883592982.00,2241475649.00,,,13
Travaux d?urgence du CTRI Kango,,"VOIRIE,ROUTE",TERMINE,N°149/MTP/SG/2024,1,2025-10-01,2026-10-01,885030971.00,1053186855.00,,,14
1-\tMarché N°?./MTP/SG/2026_ Construction de 2 ponts sur le fleuve de la LOUETSI ? BONGOLO-IDEMBE,,VOIRIE,EN_COURS,N°?./MTP/SG/2026,1,2025-10-01,2028-10-01,28931329958.00,34428282650.00,,,15
CONSTRUCTION SALLE POLYVALENTE KANGO,Construction d'une salle polyvalente à Kango (marché 146/MTPC/SG/2024). Chef de projet OPC : Adnen Ben SALAH.,BATIMENT,EN_COURS,146/MTPC/SG/2024,,NULL,NULL,,,Estuaire,Kango,
Travaux d'aménagement de la Voie Express Owendo : Carrefour Pompier/Carrefour Razel,,VOIRIE,EN_ATTENTE,02/MTPC/SG/2026,,NULL,NULL,,,,,
